YEAR,IDADE,TOTAL_PONTOS_LP_MEAN,TOTAL_PONTOS_LP_MEDIAN,TOTAL_PONTOS_LP_STD,TOTAL_PONTOS_LP_MIN,TOTAL_PONTOS_LP_MAX,PORC_PONTOS_LP_MEAN,PORC_PONTOS_LP_MEDIAN,PORC_PONTOS_LP_STD,PORC_PONTOS_LP_MIN,PORC_PONTOS_LP_MAX,TOTAL_PONTO_MAT_MEAN,TOTAL_PONTO_MAT_MEDIAN,TOTAL_PONTO_MAT_STD,TOTAL_PONTO_MAT_MIN,TOTAL_PONTO_MAT_MAX,PORC_PONTOS_MAT_MEAN,PORC_PONTOS_MAT_MEDIAN,PORC_PONTOS_MAT_STD,PORC_PONTOS_MAT_MIN,PORC_PONTOS_MAT_MAX
2019,7,,,,,,,,,,,,,,,,,,,,
2019,8,,,,,,,,,,,,,,,,,,,,
2019,9,,,,,,,,,,,,,,,,,,,,
2019,10,16.35177865612648,17.0,4.638388685913044,4.0,24.0,68.1296442687747,70.8,19.325335750177285,16.7,100.0,16.753968253968253,17.5,4.718677828078891,4.0,24.0,69.80515873015874,72.9,19.661074785669594,16.7,100.0
2019,11,17.1195219123506,18.0,4.738951083364115,3.0,24.0,71.32988047808765,75.0,19.74413592907164,12.5,100.0,16.805555555555557,18.0,5.177130303187679,0.0,24.0,70.02301587301586,75.0,21.56815626272799,0.0,100.0
2019,12,15.527777777777779,15.5,5.6238579087471425,3.0,24.0,64.69999999999999,64.6,23.431822074142794,12.5,100.0,12.894736842105264,12.5,5.755324085946998,4.0,23.0,53.72105263157895,52.05,23.9777392020265,16.7,95.8
2019,13,16.0,17.0,5.01663898109747,5.0,23.0,66.668,70.8,20.904619106790733,20.8,95.8,13.12,13.0,5.5024237083913,4.0,23.0,54.663999999999994,54.2,22.92103982516209,16.7,95.8
2019,14,14.095617529880478,14.0,4.626447091640407,3.0,24.0,58.732868525896414,58.3,19.27534946879969,12.5,100.0,11.826254826254827,11.0,4.725412375312459,1.0,23.0,49.27413127413127,45.8,19.68954859086264,4.2,95.8
2019,15,13.451612903225806,14.0,4.701963084068263,3.0,22.0,56.05430107526882,58.3,19.59153451478467,12.5,91.7,11.204188481675393,11.0,4.567065537896907,3.0,23.0,46.68534031413613,45.8,19.03109352624356,12.5,95.8
2019,16,10.346153846153847,10.0,4.088445256498443,4.0,20.0,43.111538461538466,41.7,17.032376861097852,16.7,83.3,7.571428571428571,7.5,3.236694374850749,2.0,14.0,31.55,31.25,13.48657768960598,8.3,58.3
2019,17,12.656294200848656,12.0,4.777407805608107,2.0,24.0,52.734794908062234,50.0,19.905456568419986,8.3,100.0,10.643741403026135,10.0,4.483014933861232,0.0,24.0,44.34951856946355,41.7,18.678671021925418,0.0,100.0
2019,18,10.055555555555555,9.0,4.385262773770299,2.0,24.0,41.898148148148145,37.5,18.27322734658796,8.3,100.0,8.048543689320388,7.0,3.9441658100031773,1.0,22.0,33.53495145631068,29.2,16.4353797520976,4.2,91.7
2019,19,8.636363636363637,8.0,3.155425479505095,4.0,15.0,35.981818181818184,33.3,13.140726817748755,16.7,62.5,6.153846153846154,6.0,2.4930673106405723,2.0,12.0,25.64230769230769,25.0,10.387730188137272,8.3,50.0
2019,20,8.625,9.5,3.9977672339873487,2.0,13.0,35.925,39.55,16.672710808812276,8.3,54.2,5.625,5.0,2.326094212561969,4.0,11.0,23.4375,20.8,9.673666390183786,16.7,45.8
2019,21,4.0,4.0,2.8284271247461903,2.0,6.0,16.65,16.65,11.808683245815345,8.3,25.0,4.5,4.5,0.7071067811865476,4.0,5.0,18.75,18.75,2.899137802864846,16.7,20.8
2019,22,,,,,,,,,,,,,,,,,,,,
2019,23,6.0,6.0,,6.0,6.0,25.0,25.0,,25.0,25.0,,,,,,,,,,
2020,8,,,,,,,,,,,,,,,,,,,,
2020,9,,,,,,,,,,,,,,,,,,,,
2020,10,,,,,,,,,,,,,,,,,,,,
2020,11,16.35177865612648,17.0,4.638388685913044,4.0,24.0,68.1296442687747,70.8,19.325335750177285,16.7,100.0,16.753968253968253,17.5,4.718677828078891,4.0,24.0,69.80515873015874,72.9,19.661074785669594,16.7,100.0
2020,12,17.1195219123506,18.0,4.738951083364115,3.0,24.0,71.32988047808765,75.0,19.74413592907164,12.5,100.0,16.805555555555557,18.0,5.177130303187679,0.0,24.0,70.02301587301586,75.0,21.56815626272799,0.0,100.0
2020,13,15.527777777777779,15.5,5.6238579087471425,3.0,24.0,64.69999999999999,64.6,23.431822074142794,12.5,100.0,12.894736842105264,12.5,5.755324085946998,4.0,23.0,53.72105263157895,52.05,23.9777392020265,16.7,95.8
2020,14,16.0,17.0,5.01663898109747,5.0,23.0,66.668,70.8,20.904619106790733,20.8,95.8,13.12,13.0,5.5024237083913,4.0,23.0,54.663999999999994,54.2,22.92103982516209,16.7,95.8
2020,15,14.095617529880478,14.0,4.626447091640407,3.0,24.0,58.732868525896414,58.3,19.27534946879969,12.5,100.0,11.826254826254827,11.0,4.725412375312459,1.0,23.0,49.27413127413127,45.8,19.68954859086264,4.2,95.8
2020,16,13.451612903225806,14.0,4.701963084068263,3.0,22.0,56.05430107526882,58.3,19.59153451478467,12.5,91.7,11.204188481675393,11.0,4.567065537896907,3.0,23.0,46.68534031413613,45.8,19.03109352624356,12.5,95.8
2020,17,10.346153846153847,10.0,4.088445256498443,4.0,20.0,43.111538461538466,41.7,17.032376861097852,16.7,83.3,7.571428571428571,7.5,3.236694374850749,2.0,14.0,31.55,31.25,13.48657768960598,8.3,58.3
2020,18,12.656294200848656,12.0,4.777407805608107,2.0,24.0,52.734794908062234,50.0,19.905456568419986,8.3,100.0,10.643741403026135,10.0,4.483014933861232,0.0,24.0,44.34951856946355,41.7,18.678671021925418,0.0,100.0
2020,19,10.055555555555555,9.0,4.385262773770299,2.0,24.0,41.898148148148145,37.5,18.27322734658796,8.3,100.0,8.048543689320388,7.0,3.9441658100031773,1.0,22.0,33.53495145631068,29.2,16.4353797520976,4.2,91.7
2020,20,8.636363636363637,8.0,3.155425479505095,4.0,15.0,35.981818181818184,33.3,13.140726817748755,16.7,62.5,6.153846153846154,6.0,2.4930673106405723,2.0,12.0,25.64230769230769,25.0,10.387730188137272,8.3,50.0
2020,21,8.625,9.5,3.9977672339873487,2.0,13.0,35.925,39.55,16.672710808812276,8.3,54.2,5.625,5.0,2.326094212561969,4.0,11.0,23.4375,20.8,9.673666390183786,16.7,45.8
2020,22,4.0,4.0,2.8284271247461903,2.0,6.0,16.65,16.65,11.808683245815345,8.3,25.0,4.5,4.5,0.7071067811865476,4.0,5.0,18.75,18.75,2.899137802864846,16.7,20.8
2020,23,,,,,,,,,,,,,,,,,,,,
2020,24,6.0,6.0,,6.0,6.0,25.0,25.0,,25.0,25.0,,,,,,,,,,
2021,7,13.142857142857142,14.0,4.912084224498948,4.0,20.0,65.71428571428571,70.0,24.560421122494738,20.0,100.0,12.142857142857142,12.0,4.09005763144866,3.0,20.0,60.714285714285715,60.0,20.450288157243303,15.0,100.0
2021,8,15.194805194805195,17.0,4.662388593388815,1.0,20.0,75.97402597402598,85.0,23.311942966944073,5.0,100.0,13.844155844155845,14.0,3.852767068050725,6.0,20.0,69.22077922077922,70.0,19.263835340253628,30.0,100.0
2021,9,15.58695652173913,16.5,4.587790981175637,4.0,20.0,77.93478260869566,82.5,22.938954905878187,20.0,100.0,14.26086956521739,15.0,3.1300321802299993,5.0,20.0,71.30434782608695,75.0,15.650160901149997,25.0,100.0
2021,10,14.599033816425122,15.0,5.7974382553067025,0.0,24.0,60.94202898550725,62.5,24.22345051982757,0.0,100.0,14.120772946859903,14.0,5.485187766753854,1.0,24.0,58.94734299516908,58.3,22.898252788589193,4.2,100.0
2021,11,16.223938223938223,18.0,5.89146392851345,1.0,24.0,67.65714285714286,75.0,24.485301261197627,4.2,100.0,15.281853281853282,16.0,5.645339955990287,2.0,24.0,63.73243243243243,66.7,23.481327528697168,8.3,100.0
2021,12,12.0,12.5,8.024961059095553,2.0,24.0,50.0,52.1,33.453131393040024,8.3,100.0,12.5,10.5,6.252999280345393,6.0,22.0,52.083333333333336,43.75,26.069094089873296,25.0,91.7
2021,13,9.0,9.0,,9.0,9.0,37.5,37.5,,37.5,37.5,11.0,11.0,,11.0,11.0,45.8,45.8,,45.8,45.8
2021,14,13.440251572327044,14.0,4.634381449466751,2.0,24.0,56.003144654088054,58.3,19.311285079063918,8.3,100.0,11.518867924528301,11.0,4.378534819847949,2.0,23.0,47.99559748427673,45.8,18.242892729247885,8.3,95.8
2021,15,13.719211822660098,14.0,4.651825646601386,2.0,23.0,57.15960591133005,58.3,19.384148897650523,8.3,95.8,12.08128078817734,12.0,4.575921342561408,2.0,23.0,50.33940886699507,50.0,19.0653566927697,8.3,95.8
2021,16,11.181818181818182,11.0,3.6857042182486084,5.0,19.0,46.59090909090909,45.85,15.370036065605332,20.8,79.2,9.727272727272727,9.5,3.756667953460102,2.0,17.0,40.52272727272727,39.6,15.65265630334511,8.3,70.8
2021,17,11.996116504854369,11.0,5.558670486181822,0.0,24.0,49.98582524271845,45.8,23.160059983771422,0.0,100.0,10.036893203883496,9.0,4.75392506867865,0.0,24.0,41.81902912621359,37.5,19.807014121116076,0.0,100.0
2021,18,10.909090909090908,10.0,5.272570530585626,2.0,23.0,45.45619834710744,41.7,21.969721180759908,8.3,95.8,8.256198347107437,7.0,3.9529080553010467,2.0,20.0,34.39834710743801,29.2,16.47239095917304,8.3,83.3
2021,19,9.125,8.5,4.631414470763764,3.0,20.0,38.03125,35.45,19.284802954658364,12.5,83.3,7.4375,6.0,3.811714399934322,3.0,17.0,30.98125,25.0,15.874433060742673,12.5,70.8
2021,20,6.5,5.5,4.041451884327381,3.0,12.0,27.1,22.95,16.833894380089237,12.5,50.0,4.75,5.0,0.5,4.0,5.0,19.775,20.8,2.0500000000000007,16.7,20.8
2021,21,5.0,5.0,,5.0,5.0,20.8,20.8,,20.8,20.8,6.0,6.0,,6.0,6.0,25.0,25.0,,25.0,25.0
2021,22,11.0,11.0,,11.0,11.0,45.8,45.8,,45.8,45.8,4.0,4.0,,4.0,4.0,16.7,16.7,,16.7,16.7
2021,24,,,,,,,,,,,,,,,,,,,,
2022,7,11.384615384615385,12.0,3.6838813585218495,2.0,16.0,71.17975708502024,75.0,23.021776434164565,12.5,100.0,11.574898785425102,12.0,3.5016630035637313,1.0,16.0,72.36761133603238,75.0,21.88543348308722,6.3,100.0
2022,8,11.566801619433198,12.0,3.578758342427343,0.0,16.0,72.31781376518218,75.0,22.364024684278025,0.0,100.0,11.935222672064777,13.0,3.678637275719524,0.0,16.0,74.6165991902834,81.3,22.992759724956745,0.0,100.0
2022,9,9.666666666666666,10.0,2.516611478423583,7.0,12.0,60.43333333333334,62.5,15.702335282795785,43.8,75.0,8.0,7.0,2.6457513110645907,6.0,11.0,50.03333333333333,43.8,16.554858300007684,37.5,68.8
2022,10,14.550173010380623,15.0,5.356564797358172,2.0,24.0,60.626643598615914,62.5,22.317818370540913,8.3,100.0,14.034602076124568,14.0,5.1893500647556055,3.0,24.0,58.478200692041526,58.3,21.622036780308825,12.5,100.0
2022,11,16.07843137254902,17.0,5.157530757443194,3.0,24.0,66.99176470588236,70.8,21.48649756433593,12.5,100.0,15.788235294117648,17.0,5.278303796490001,3.0,24.0,65.78313725490196,70.8,21.9910878056268,12.5,100.0
2022,12,12.0,11.5,6.436503043467892,0.0,20.0,49.9875,47.9,26.811374851517243,0.0,83.3,11.375,11.5,6.412877669190331,2.0,20.0,47.3875,47.9,26.72609412433581,8.3,83.3
2022,13,15.0,15.0,5.656854249492381,11.0,19.0,62.5,62.5,23.61736649163069,45.8,79.2,13.0,13.0,9.899494936611665,6.0,20.0,54.15,54.15,41.22432534317572,25.0,83.3
2022,14,13.741433021806854,14.0,4.879017236086706,2.0,23.0,57.2582554517134,58.3,20.328160933715587,8.3,95.8,10.922118380062305,11.0,4.124262418717119,1.0,21.0,45.50841121495327,45.8,17.18378480662435,4.2,87.5
2022,15,14.352534562211982,15.0,4.899229852278209,2.0,24.0,59.80460829493088,62.5,20.41294311491991,8.3,100.0,11.188940092165899,11.0,4.36988088169349,1.0,24.0,46.62119815668203,45.8,18.20624496168786,4.2,100.0
2022,16,12.333333333333334,12.0,4.4907311951024935,3.0,21.0,51.39393939393939,50.0,18.711242265579592,12.5,87.5,9.878787878787879,10.0,4.075518186052969,3.0,18.0,41.163636363636364,41.7,16.982174812539068,12.5,75.0
2022,17,11.469473684210527,11.0,5.0916302978020616,0.0,24.0,47.79094736842105,45.8,21.21528343459743,0.0,100.0,9.366315789473685,9.0,4.530781047930481,0.0,23.0,39.02842105263158,37.5,18.876598281775742,0.0,95.8
2022,18,11.342857142857143,11.0,4.803870907701971,2.0,21.0,47.261142857142865,45.8,20.0148071295603,8.3,87.5,8.777142857142858,8.0,4.510720672489228,1.0,24.0,36.569714285714284,33.3,18.794094432828686,4.2,100.0
2022,19,10.0625,9.0,5.397144306637229,3.0,21.0,41.93125,37.5,22.48065001284438,12.5,87.5,9.0,7.5,4.618802153517006,3.0,16.0,37.50625,31.25,19.248877672910353,12.5,66.7
2022,20,8.0,8.0,,8.0,8.0,33.3,33.3,,33.3,33.3,5.0,5.0,,5.0,5.0,20.8,20.8,,20.8,20.8
2022,21,,,,,,,,,,,,,,,,,,,,
2022,22,,,,,,,,,,,,,,,,,,,,
2022,24,,,,,,,,,,,,,,,,,,,,
